學校名稱,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱
國立政治大學,教育學系,D 日,B 學士,213,14,57,30 臺北市
國立政治大學,歷史學系,D 日,B 學士,167,18,24,30 臺北市
國立政治大學,民族學系,D 日,B 學士,174,9,30,30 臺北市
國立政治大學,哲學系,D 日,B 學士,179,14,28,30 臺北市
國立政治大學,英國語文學系,D 日,B 學士,291,23,63,30 臺北市
國立政治大學,日本語文學系,D 日,B 學士,178,8,43,30 臺北市
國立政治大學,阿拉伯語文學系,D 日,B 學士,171,5,47,30 臺北市
國立政治大學,韓國語文學系,D 日,B 學士,138,8,35,30 臺北市
國立政治大學,土耳其語文學系,D 日,B 學士,120,7,22,30 臺北市
國立政治大學,歐洲語文學系,D 日,B 學士,264,11,65,30 臺北市
國立政治大學,斯拉夫語文學系,D 日,B 學士,214,18,52,30 臺北市
國立政治大學,東南亞語言與文化學士學位學程,D 日,B 學士,92,5,10,30 臺北市
國立政治大學,中國文學系,D 日,B 學士,338,31,51,30 臺北市
國立政治大學,經濟學系,D 日,B 學士,395,22,93,30 臺北市
國立政治大學,政治學系,D 日,B 學士,225,17,51,30 臺北市
國立政治大學,外交學系,D 日,B 學士,264,8,66,30 臺北市
國立政治大學,心理學系,D 日,B 學士,211,20,50,30 臺北市
國立政治大學,社會學系,D 日,B 學士,210,13,42,30 臺北市
國立政治大學,地政學系,D 日,B 學士,474,21,130,30 臺北市
國立政治大學,傳播學院大一大二不分系,D 日,B 學士,414,0,0,30 臺北市
國立政治大學,廣播電視學系,D 日,B 學士,187,6,74,30 臺北市
國立政治大學,新聞學系,D 日,B 學士,109,9,47,30 臺北市
國立政治大學,會計學系,D 日,B 學士,420,17,114,30 臺北市
國立政治大學,財務管理學系,D 日,B 學士,205,13,40,30 臺北市
國立政治大學,金融學系,D 日,B 學士,266,10,50,30 臺北市
國立政治大學,財政學系,D 日,B 學士,384,19,98,30 臺北市
國立政治大學,風險管理與保險學系,D 日,B 學士,215,13,53,30 臺北市
國立政治大學,企業管理學系,D 日,B 學士,441,21,104,30 臺北市
國立政治大學,創新國際學院學士班,D 日,B 學士,44,6,0,30 臺北市
國立政治大學,公共行政學系,D 日,B 學士,187,14,37,30 臺北市
國立政治大學,國際經營與貿易學系,D 日,B 學士,392,21,85,30 臺北市
國立政治大學,廣告學系,D 日,B 學士,263,6,111,30 臺北市
國立政治大學,法律學系,D 日,B 學士,729,25,179,30 臺北市
國立政治大學,應用數學系,D 日,B 學士,181,12,41,30 臺北市
國立政治大學,統計學系,D 日,B 學士,229,16,61,30 臺北市
國立政治大學,資訊管理學系,D 日,B 學士,348,21,74,30 臺北市
國立政治大學,資訊科學系,D 日,B 學士,224,20,49,30 臺北市
