學校名稱,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱
國立臺灣大學,戲劇學系,D 日,B 學士,170,11,39,30 臺北市
國立臺灣大學,歷史學系,D 日,B 學士,244,24,55,30 臺北市
國立臺灣大學,人類學系,D 日,B 學士,183,14,29,30 臺北市
國立臺灣大學,哲學系,D 日,B 學士,189,23,41,30 臺北市
國立臺灣大學,外國語文學系,D 日,B 學士,559,73,124,30 臺北市
國立臺灣大學,日本語文學系,D 日,B 學士,244,12,59,30 臺北市
國立臺灣大學,中國文學系,D 日,B 學士,322,52,79,30 臺北市
國立臺灣大學,經濟學系,D 日,B 學士,597,40,150,30 臺北市
國立臺灣大學,政治學系,D 日,B 學士,748,27,164,30 臺北市
國立臺灣大學,心理學系,D 日,B 學士,317,25,72,30 臺北市
國立臺灣大學,社會學系,D 日,B 學士,215,20,45,30 臺北市
國立臺灣大學,地理環境資源學系,D 日,B 學士,161,15,33,30 臺北市
國立臺灣大學,圖書資訊學系,D 日,B 學士,208,12,41,30 臺北市
國立臺灣大學,會計學系,D 日,B 學士,570,24,127,30 臺北市
國立臺灣大學,財務金融學系,D 日,B 學士,534,25,149,30 臺北市
國立臺灣大學,工商管理學系,D 日,B 學士,469,14,90,30 臺北市
國立臺灣大學,國際企業學系,D 日,B 學士,393,21,81,30 臺北市
國立臺灣大學,法律學系,D 日,B 學士,829,35,215,30 臺北市
國立臺灣大學,生命科學系,D 日,B 學士,239,31,34,30 臺北市
國立臺灣大學,昆蟲學系,D 日,B 學士,104,10,16,30 臺北市
國立臺灣大學,生化科技學系,D 日,B 學士,159,19,38,30 臺北市
國立臺灣大學,化學系,D 日,B 學士,268,34,60,30 臺北市
國立臺灣大學,地質科學系,D 日,B 學士,151,22,24,30 臺北市
國立臺灣大學,大氣科學系,D 日,B 學士,140,15,28,30 臺北市
國立臺灣大學,物理學系,D 日,B 學士,274,27,60,30 臺北市
國立臺灣大學,數學系,D 日,B 學士,205,28,45,30 臺北市
國立臺灣大學,資訊管理學系,D 日,B 學士,217,17,53,30 臺北市
國立臺灣大學,資訊工程學系,D 日,B 學士,588,32,124,30 臺北市
國立臺灣大學,化學工程學系,D 日,B 學士,439,38,106,30 臺北市
國立臺灣大學,材料科學與工程學系,D 日,B 學士,208,23,50,30 臺北市
國立臺灣大學,電機工程學系,D 日,B 學士,834,65,189,30 臺北市
國立臺灣大學,機械工程學系,D 日,B 學士,607,52,142,30 臺北市
國立臺灣大學,工程科學及海洋工程學系,D 日,B 學士,205,24,41,30 臺北市
國立臺灣大學,生物機電工程學系,D 日,B 學士,177,20,37,30 臺北市
國立臺灣大學,醫學工程學系,D 日,B 學士,80,13,0,30 臺北市
國立臺灣大學,土木工程學系,D 日,B 學士,463,56,99,30 臺北市
國立臺灣大學,生物環境系統工程學系,D 日,B 學士,196,20,30,30 臺北市
國立臺灣大學,農藝學系,D 日,B 學士,143,21,39,30 臺北市
國立臺灣大學,動物科學技術學系,D 日,B 學士,142,18,28,30 臺北市
國立臺灣大學,園藝暨景觀學系,D 日,B 學士,197,21,44,30 臺北市
國立臺灣大學,農業化學系,D 日,B 學士,166,15,36,30 臺北市
國立臺灣大學,農業經濟學系,D 日,B 學士,195,14,35,30 臺北市
國立臺灣大學,生物產業傳播暨發展學系,D 日,B 學士,267,14,61,30 臺北市
國立臺灣大學,植物病理與微生物學系,D 日,B 學士,119,11,32,30 臺北市
國立臺灣大學,森林環境暨資源學系,D 日,B 學士,241,22,64,30 臺北市
國立臺灣大學,獸醫學系,D 日,B 學士,359,18,63,30 臺北市
國立臺灣大學,牙醫學系,D 日,B 學士,219,18,32,30 臺北市
國立臺灣大學,醫學系,D 日,B 學士,898,158,149,30 臺北市
國立臺灣大學,學士後護理學系,D 日,B 學士,252,26,50,30 臺北市
國立臺灣大學,醫學檢驗暨生物技術學系,D 日,B 學士,150,15,37,30 臺北市
國立臺灣大學,物理治療學系,D 日,B 學士,219,15,10,30 臺北市
國立臺灣大學,職能治療學系,D 日,B 學士,172,11,42,30 臺北市
國立臺灣大學,藥學系,D 日,B 學士,274,15,43,30 臺北市
國立臺灣大學,公共衛生學系,D 日,B 學士,173,12,30,30 臺北市
國立臺灣大學,社會工作學系,D 日,B 學士,214,18,41,30 臺北市
